title,book_page,txt_url,local_path
"Moby Dick; Or, The Whale by Herman Melville (120117)",https://www.gutenberg.org/ebooks/2701,https://www.gutenberg.org/ebooks/2701.txt.utf-8,data/raw/Moby Dick_ Or_ The Whale by Herman Melville _120117_.txt
"Frankenstein; Or, The Modern Prometheus by Mary Wollstonecraft Shelley (117668)",https://www.gutenberg.org/ebooks/84,https://www.gutenberg.org/ebooks/84.txt.utf-8,data/raw/Frankenstein_ Or_ The Modern Prometheus by Mary Wollstonecraft Shelley _117668_.txt
Romeo and Juliet by William Shakespeare (81275),https://www.gutenberg.org/ebooks/1513,https://www.gutenberg.org/ebooks/1513.txt.utf-8,data/raw/Romeo and Juliet by William Shakespeare _81275_.txt
Pride and Prejudice by Jane Austen (71294),https://www.gutenberg.org/ebooks/1342,https://www.gutenberg.org/ebooks/1342.txt.utf-8,data/raw/Pride and Prejudice by Jane Austen _71294_.txt
Alice's Adventures in Wonderland by Lewis Carroll (60624),https://www.gutenberg.org/ebooks/11,https://www.gutenberg.org/ebooks/11.txt.utf-8,data/raw/Alice_s Adventures in Wonderland by Lewis Carroll _60624_.txt
A Room with a View by E. M.  Forster (57478),https://www.gutenberg.org/ebooks/2641,https://www.gutenberg.org/ebooks/2641.txt.utf-8,data/raw/A Room with a View by E. M.  Forster _57478_.txt
The Complete Works of William Shakespeare by William Shakespeare (56211),https://www.gutenberg.org/ebooks/100,https://www.gutenberg.org/ebooks/100.txt.utf-8,data/raw/The Complete Works of William Shakespeare by William Shakespeare _56211_.txt
Middlemarch by George Eliot (55252),https://www.gutenberg.org/ebooks/145,https://www.gutenberg.org/ebooks/145.txt.utf-8,data/raw/Middlemarch by George Eliot _55252_.txt
"Little Women; Or, Meg, Jo, Beth, and Amy by Louisa May Alcott (53318)",https://www.gutenberg.org/ebooks/37106,https://www.gutenberg.org/ebooks/37106.txt.utf-8,data/raw/Little Women_ Or_ Meg_ Jo_ Beth_ and Amy by Louisa May Alcott _53318_.txt
Beowulf: An Anglo-Saxon Epic Poem (52640),https://www.gutenberg.org/ebooks/16328,https://www.gutenberg.org/ebooks/16328.txt.utf-8,data/raw/Beowulf_ An Anglo-Saxon Epic Poem _52640_.txt
How to Observe: Morals and Manners by Harriet Martineau (51437),https://www.gutenberg.org/ebooks/33944,https://www.gutenberg.org/ebooks/33944.txt.utf-8,data/raw/How to Observe_ Morals and Manners by Harriet Martineau _51437_.txt
Dracula by Bram Stoker (47752),https://www.gutenberg.org/ebooks/345,https://www.gutenberg.org/ebooks/345.txt.utf-8,data/raw/Dracula by Bram Stoker _47752_.txt
The Enchanted April by Elizabeth Von Arnim (45511),https://www.gutenberg.org/ebooks/16389,https://www.gutenberg.org/ebooks/16389.txt.utf-8,data/raw/The Enchanted April by Elizabeth Von Arnim _45511_.txt
The Blue Castle: a novel by L. M.  Montgomery (45401),https://www.gutenberg.org/ebooks/67979,https://www.gutenberg.org/ebooks/67979.txt.utf-8,data/raw/The Blue Castle_ a novel by L. M.  Montgomery _45401_.txt
The Strange Case of Dr. Jekyll and Mr. Hyde by Robert Louis Stevenson (44586),https://www.gutenberg.org/ebooks/43,https://www.gutenberg.org/ebooks/43.txt.utf-8,data/raw/The Strange Case of Dr. Jekyll and Mr. Hyde by Robert Louis Stevenson _44586_.txt
Cranford by Elizabeth Cleghorn Gaskell (40784),https://www.gutenberg.org/ebooks/394,https://www.gutenberg.org/ebooks/394.txt.utf-8,data/raw/Cranford by Elizabeth Cleghorn Gaskell _40784_.txt
The Adventures of Ferdinand Count Fathom â€” Complete by T.  Smollett (40314),https://www.gutenberg.org/ebooks/6761,https://www.gutenberg.org/ebooks/6761.txt.utf-8,data/raw/The Adventures of Ferdinand Count Fathom _ Complete by T.  Smollett _40314_.txt
The Expedition of Humphry Clinker by T.  Smollett (40226),https://www.gutenberg.org/ebooks/2160,https://www.gutenberg.org/ebooks/2160.txt.utf-8,data/raw/The Expedition of Humphry Clinker by T.  Smollett _40226_.txt
Twenty years after by Alexandre Dumas and Auguste Maquet (39708),https://www.gutenberg.org/ebooks/1259,https://www.gutenberg.org/ebooks/1259.txt.utf-8,data/raw/Twenty years after by Alexandre Dumas and Auguste Maquet _39708_.txt
"History of Tom Jones, a Foundling by Henry Fielding (39646)",https://www.gutenberg.org/ebooks/6593,https://www.gutenberg.org/ebooks/6593.txt.utf-8,data/raw/History of Tom Jones_ a Foundling by Henry Fielding _39646_.txt
